Loc,ItemNumber,ReqMonth,StatQty,.model,ModelDate,AdjQty,ITEMDESC,ItmClsCd,RptClass,Brand,Channel
Ace Hardware,601090,2017-01-01,5,history,2021-03-01,5,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-02-01,0,history,2021-03-01,0,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-03-01,1,history,2021-03-01,1,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-04-01,4,history,2021-03-01,4,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-05-01,1,history,2021-03-01,1,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-06-01,8,history,2021-03-01,8,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-07-01,7,history,2021-03-01,7,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-08-01,4,history,2021-03-01,4,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-09-01,13,history,2021-03-01,13,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-10-01,2,history,2021-03-01,2,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-11-01,7,history,2021-03-01,7,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
Ace Hardware,601090,2017-12-01,8,history,2021-03-01,8,Hot & Cold Bottom Loading Water Dispenser - Black/Stainless Steel,DISPEN-BL,DISPEN-BL,Primo,Domestic
